Route,Title,Local File Name,Update-Library,Media Type,Notes
/expertise/video-marketing,Video Marketing,Video-Marketing-Analytics.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/video-marketing,Video Marketing,Video-Marketing-Analytics-Tile.tsx,src/data/animations.ts,animation,hero-tiles
/expertise/video-marketing,Video Marketing,VideoMarketingHero.tsx,src/data/animations.ts,animation,hero-tiles
/industries/ai-ml/,AI - ML,GTMStackPro.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/ai-in-marketing,AI in Marketing,AIGrowth.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/b2b-saas/,B2B SaaS,RevOpsMeshTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/content-engagement,Content & Engagement,ContentEngagementTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/cybersecurity/,Cybersecurity,OmnichannelLiveAnalytics.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/demand-and-growth,Demand & Growth,DemandGrowthTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/energy-utilities/,Energy: Oil & Gas,EnergyGridTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/,Expertise,GtmCoreTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/financial-services/,Financial Services,WealthManageTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/fleet-management-logistics/,Fleet Management and Logistics,SystemsProcessTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/,GTMStack,AIGrowth.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/healthcare/,Healthcare & Health Technology,HealthCareTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/marketing-automation,Marketing Automation,Marketing-Automation-Live-Feed.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/sales-enablement,Sales Enablement,SalesEnablementTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/social-media-marketing,Social Media Marketing,SocialMediaTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/telecommunications/,Telecommunications,TelcoAITile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/waste-management/,Waste Management,WasteMan.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/paid-advertising,Paid Advertising (SEM),GrowthSEMTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/product-marketing,Product Marketing,ProductGTMTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/public-sector-governement/,Public Sector and Government,PubSecTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/retail/,Retail & Ecommerce,OmniRetailTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/strategy-insights,Strategy & Insights,StrategyInsightsTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/systems-operations,Systems & Operations,PlgJourneyDashboard.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/expertise/martech-optimization,MarTech Optimization,MarTechTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
/industries/non-profit-ngo/,Non-profit NGO,NGOTile.tsx,lib/heroVisualRegistry.ts,animation,hero-tiles
